College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",BY,BIO MEDICAL ENGINEERING (SS),195,191.5,193.5,188.845,184,164,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",CE,CIVIL ENGINEERING,193,190,192,187,183,173.5,177.5
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",CM,COMPUTER SCIENCE AND ENGINEERING (SS),199.5,199,198.5,199,196,178,192
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",CS,COMPUTER SCIENCE AND ENGINEERING,200,200,199.5,199.5,198.5,185.5,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,200,199.5,198,198.5,195,186,180.5
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,198,197.5,195,195.5,189,176.5,171
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),199,198.5,197.5,197,191.5,190,175.5
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",GI,GEO INFORMATICS,191,188.5,188.5,187.5,179.5,159.5,155.5
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",IE,INDUSTRIAL ENGINEERING,189,184.5,185.5,179.5,169.5,148,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",IM,INFORMATION TECHNOLOGY (SS),199,198.5,198,198,191.5,176,182.5
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",MA,MATERIAL SCIENCE AND ENGINEERING (SS),187.5,182,184,176.5,171.5,173,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",ME,MECHANICAL ENGINEERING,195.5,193.5,191,191.5,182.5,168,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",MI,MINING ENGINEERING,187,181.5,174,175,170.5,163,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",MN,MANUFACTURING ENGINEERING,186,179,182,179.89,165,136.5,135
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",PT,PRINTING AND PACKING TECHNOLOGY,181.955,170.5,173,171.5,162,131,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",XC,CIVIL ENGINEERING (TAMIL MEDIUM),180.5,174,161,165.5,166,157.5,
1,"University Departments of Anna University Chennai - CEG Campus, Guindy, Chennai.",XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),180,175.5,175.5,168,166,,134.5
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",AP,APPAREL TECHNOLOGY (SS),166.5,156,160,152,141.5,118,129
2,"University Departments of Anna University Chennai - ACT Campus, Guindy, Chennai.",CH,CHEMICAL ENGINEERING,192.5,190,187,184.5,177,171.29,
